   A  R  N  D  C  Q  E  G  H  I  L  K  M  F  P  S  T  W  Y  V  B  J  Z  X  *
A  4  1  1  1  1  1  1  2  1  1  2  1  2  2  2  1  1  2  2  2 -4 -4 -4 -4 -4
R  1  4  1  3  1  3  4  1  2  1  1  1  1  1 -2  2  2  2  2  1 -4 -4 -4 -4 -4
N  1  1  6  2  2  2  3  2  2  2  1  1  2  1  1  2  2  2  1  1 -4 -4 -4 -4 -4
D  1  3  2  4  1  2  2  2  2  1  1  3  1  1  1  2  2  0  1  1 -4 -4 -4 -4 -4
C  1  1  2  1  6  2  1  2  2  2  2  1  2  2  0  2  2  3  2  1 -4 -4 -4 -4 -4
Q  1  3  2  2  2  5  2  1  2  1  1  3  1  1  0  3  2  2  1  1 -4 -4 -4 -4 -4
E  1  4  3  2  1  2  3  1  2  1  1  4  1  1  1  2  2  1  1  1 -4 -4 -4 -4 -4
G  2  1  2  2  2  1  1  4  1  1  1  1  2  2  3  2  2  3  2  2 -4 -4 -4 -4 -4
H  1  2  2  2  2  2  2  1  6  1  2  1  2  1  2  2  2  2  1  1 -4 -4 -4 -4 -4
I  1  1  2  1  2  1  1  1  1  4  1  1  2  2  2  1  1  1  2  1 -4 -4 -4 -4 -4
L  2  1  1  1  2  1  1  1  2  1  4  1  2  1  2  1  1  2  1  1 -4 -4 -4 -4 -4
K  1  1  1  3  1  3  4  1  1  1  1  4  1  1  1  2  2  1  2  1 -4 -4 -4 -4 -4
M  2  1  2  1  2  1  1  2  2  2  2  1  4  2  3  1  1  2  2  2 -4 -4 -4 -4 -4
F  2  1  1  1  2  1  1  2  1  2  1  1  2  4  2  2  1  2  2  1 -4 -4 -4 -4 -4
P  2 -2  1  1  0  0  1  3  2  2  2  1  3  2 -4  1  1  3  1  2 -4 -4 -4 -4 -4
S  1  2  2  2  2  3  2  2  2  1  1  2  1  2  1  5  2  2  2  1 -4 -4 -4 -4 -4
T  1  2  2  2  2  2  2  2  2  1  1  2  1  1  1  2  4  1  1  1 -4 -4 -4 -4 -4
W  2  2  2  0  3  2  1  3  2  1  2  1  2  2  3  2  1  4  2  1 -4 -4 -4 -4 -4
Y  2  2  1  1  2  1  1  2  1  2  1  2  2  2  1  2  1  2  4  2 -4 -4 -4 -4 -4
V  2  1  1  1  1  1  1  2  1  1  1  1  2  1  2  1  1  1  2  3 -4 -4 -4 -4 -4
B -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
J -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
Z -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
X -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
* -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
